id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
25,Which All India Radio (AIR) has been honoured with the 26th edition of Lelte Award?,AIR Aizawl,AIR Bhopal,AIR Lucknow,AIR Delhi,A,45,"The All India Radio (AIR) Aizawl has been honoured with the prestigious Lelte Award at an impressive 26th Award Ceremony held at Chanmari YMA Hall in Aizawl. The award is given in recognition of the role played by AIR Aizawl for the overall progress &amp; development of Mizoram and for promotion of Mizo language &amp; literature and for its contribution in the field of healthcare &amp; education and in promotion of brotherhood. The Lelte Special Award was received by D R Lalropuia, Director (E) &amp; Head of Office."
26,India has recently signed pact with which country for defence shipbuilding?,Japan,Australia,South Korea,China,C,45,"India and South Korea has recently signed an agreement to firm up bilateral cooperation in defence shipbuilding. The agreement will form the basis of defence cooperation between the two countries in shipbuilding. Under the MoU, the two sides will nominate one shipyard each for this purpose.India has already picked Hindustan Shipyard Limited (HSL) while Korea will make the nomination soon."
27,Which Food delivery and home services app was launched by Google for Indian market?,Ambrosia,Delicay,G-kitchen,Areo,D,45,"Google launches the Areo app that aggregates food delivery and home services start-ups in India. It's currently operational in Mumbai and Bengaluru. Google has partnered with companies such as Box8, Freshmenu and Faasos for food delivery and UrbanClap and Zimmber for home services."
28,Which country is going to launch its first cargo spacecraft into space?,Russia,Japan,India,China,D,45,"China launched its first unmanned cargo spacecraft on a mission to dock with the country's space station, marking further progress in the ambitious Chinese space program. It was powered by a Long March-7 Y2 carrier rocket, Tianzhou-1 roared into the air from the Wenchang Space Launch Centre in the southern Hainan Province, state-run Xinhua news agency reported."
29,The 11th Civil Services Day was celebrated on?,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,D,45,"Every year, the Civil Services Day is observed on April 21. In the event, 8 break away sessions were held on the replication initiatives awarded by the Prime Minister and 4 Priority Programmes, the names of which include; 'PradhanMantri Jan DhanYojana', 'Swachh Bharat (Gramin)', 'SwachhVidyalaya' and 'Soil Health Card'."
30,The first India-Indonesia Energy Forum was held in?,Jakarta,New Delhi,Mumbai,Bali,A,45,"Union Minister of State (IC) for Power, Coal, New & Renewable Energy and Mines, Shri Piyush Goyal and H.E. Mr. Ignasius Jonan, Minister of Energy and Mineral Resources, Republic of Indonesia met on 20th April, 2017 for the 1st 'India Indonesia Energy Forum', held in Jakarta, Indonesia."
31,Pakistan has leased the Gwadar Port to a company belonging to this country for 40 years.,Sri Lanka,India,China,Germany,C,45,A state-run Chinese company will handle the operations of Pakistan's strategic Gwadar port for a period of 40 years. Minister for Ports and Shipping Mir Hasil Khan Bizenjo said the China Overseas Port Holding Company (COPHC) would carry out all the development work on the port on the Arabian Sea. The COPHC has 91 per cent share of revenue collection from gross revenue of terminal and marine operations and 85 per cent share from gross revenue of free zone operation
32,Sulkhan Singh was appointed as the DGP of,Telangana,Uttar Pradesh,Bihar,Karnataka,B,45,"Sulkhan Singh was appointed as the new director general of police, replacing Javeed Ahmed who has been posted as DG, PAC by the Yogi Adityanath-led state government. Sulkhan Singh, the 1980 batch IPS officer, would be heading the police department of Uttar Pradesh. He was currently posted in the Training Department of UP police."
33,This State Government announced the establishment of 40 yoga wellness centres recently.,Haryana,Maharashtra,Uttar Pradesh,Madhya Pradesh,C,45,"Uttar Pradesh Chief Minister Yogi Adityanath has directed officials to set up yoga wellness centres in 40 districts of the state. Out of 40 centres, 23 will be set up at Ayurvedic hospitals, 12 at homeopathic and 7 at Unani hospitals and colleges. For setting up of wellness centres in the remaining 35 districts, the state government plans to get assistance from union government."
34,"By divesting it's 9.2% stake in NALCO, the Union Government has raised","Rs 1,200 crore","Rs 2,200 crore","Rs 3,200 crore","Rs 4,200 crore",A,45,"The Central Government has raised Rs. 1,200 crore by divesting 9.2% of paid-up capital in National Aluminum Company Ltd. (NALCO). With this disinvestment, Government's shareholding in NALCO has become 65.37%."
35,The Government of this State announced plans to develop the birthplace of Srimanta Sankardev Batadrava as an international tourist spot recently.,Assam,West Bengal,Kerala,Maharashtra,A,45,Assam Chief Minister Sarbananda Sonowal has mooted an idea of developing the birthplace of Srimanta Sankardev Batadrava as an international tourist spot and plans to place it in the national and international tourist circuit. The state government plans to develop the birthplace on the lines of the Golden Temple of Amritsar.
36,Which country will host the 2017 BRICS Film Festival?,Brazil,India,China,Russia,C,45,"The 2017 BRICS Film Festival will be held in Chengdu, southwest China. There will be 30 films from BRICS countries (Brazil, Russia, India, China and South Africa) screened during the festival, including an anthology by five directors from the aforementioned countries."
37,Which of the following States was/were chosen for Krishi Samman Awards 2015-16?,Tamil Nadu,Himachal Pradesh,Tripura,All of them,D,45,"The Union Ministry of Agriculture and Farmers Welfare in April 2017 selected Tripura, Himachal Pradesh and Tamil Nadu for the Krishi Karman Awards 2015-16. The objective of these awards is to encourage and motivate the states to enhance production and productivity of rice, wheat, pulses and coarse cereals and oilseeds."
38,Who will be honoured with the 75th Master Dinanath Mangeshkar Award?,Sachin Tendulkar,Sunil Gavaskar,Kapil Dev,Sourav Ganguly,C,45,"Aamir Khan and cricket icon Kapil Dev will receive the 75th Master Dinanath Mangeshkar Awards. The Other awardees include Kishore Deshpande, who will be presented with Anadmayee Puraskar for his work in social service, Vishwanath Karad, founder, Vishwashanti Kendra will be presented with Samarpit Jeevan Puraskar."
39,India contributed this much amount to the Election Commission Division of the UN recently.,"USD 1,50,000","USD 2,50,000","USD 3,50,000","USD 4,50,000",B,45,"India has made a quarter-million-dollar contribution to the UN programme for helping countries to hold elections and develop their electoral systems. This is the second Indian contribution of $250,000 to the programmes for electoral assistance and capacity building."
40,Which country will host the first-ever World Ocean Festival?,The USA,The UK,Japan,The Netherlands,A,45,"The UN announced the launch of inaugural World Ocean Festival from June 4, 2017. The festival will be held in New York City. The festival will aim to show world leaders gathering for the UN conference the urgency for taking action. As part of the festival, activists and enthusiasts will take to the streets and waterways of New York City to raise their voices to reverse the declining health of our oceans."
41,"As per an estimate of the IMF, the projected global economic growth for 2017 is",1.50%,2.50%,3.50%,4.50%,C,45,"The global economy is forecast to grow 3.1% in 2016 compared with 3.2% estimated in the April WEO, with Brexit responsible for the reduction. The 2017 growth estimate has also been trimmed by 0.1 percentage point, to 3.4%."
42,With this country India signed a MoU to cooperate in the field of defence shipbuilding.,China,Japan,South Korea,Poland,C,45,"India and South Korea signed an agreement today to firm up bilateral cooperation in defence shipbuilding. MoU conceived under the umbrella of the special strategic partnership, the two sides will nominate one shipyard."
43,"It is in this State, the NDMA conducted a mock exercise on forest fires recently.",Uttar Pradesh,Uttarakhand,Himachal Pradesh,Punjab,B,45,The National Disaster Management Authority (NDMA) conducted a first-of-its-kind State-level mock exercise on forest fire in Uttarakhand. It is aimed at assessing the efficacy of integrating the preparedness and response mechanisms of the forest department with those of the district administration.
44,Sulkhan Singh is appointed as new DGP of which state?,Rajasthan,Uttar Pradesh,Punjab,Kerala,B,45,Sulkhan Singh appointed as new Director General of Police (DGP) of Uttar Pradesh on 21st April 2017. Uttar Pradesh DGP Javeed Ahmed has been transferred.
45,"What does VVPAT stand for, in voting?",Voters View Paper Audit Trail,Voter Verified Paper Audit Trail,Votee and Action on Time,Voter Verifiable Paper Audit Trail,D,45,"Union Cabinet chaired by the Prime Minister Shri Narendra Modi has given its approval for procurement of Voter Verifiable Paper Audit Trail (VVPAT) Units for use in the General Elections, 2019."
46,Mastercard creates credit card with __________ scanner.,Fingerprint,Retina,Voice,Eye,A,45,"MasterCard has unveiled its brand new payment card that has a built-in biometric fingerprint scanner, allowing customers to authorize payments with their fingerprint, without requiring a PIN code or a signature."
47,PV Sindhu moves to _______ position in world ranking.,3rd,8th,7th,5th,A,45,P.V. Sindhu moved to number 3. Slipping to number five. Sindhu earned two spots in the latest ranking on the basis of making the quarterfinals of the recently concluded Singapore Open Super Series.
48,Rupee weakens ______ paise against dollar at 64.65.,9 paise,10 paise,6 paise,7 paise,A,45,The rupee weakened by 9 paise to 64.65 against the dollar in early trade at the Inter- bank Foreign Exchange market on increased demand for the American currency from importers and banks.
49,Which Bollywood film has won the best film honour at the 2017 Hong Kong International Film Festival?,Trivisa,Newton,Happiness,Blue Mountains,B,45,"Bollywood film ""Newton"" has won the best film honour at the Hong Kong International Film Festival. It had its world premiere at the 67th Berlin Film Festival where it won the International Federation of Art Cinemas (CICAE) award in its Forum segment."
50,Which state government has recently signed MoU with Indian Railways to expand green cover?,Kerala,Uttar Pradesh,Maharashtra,Rajasthan,C,45,"The Maharashtra government recently signed the Memorandum of Understanding (MoU) with the Railways, under which trees will be planted on the land adjacent to the railway tracks in the state."
51,Which country to host 15th edition of International Musculoskeletal Congress (IMC)-2017?,India,China,Japan,South Korea,D,45,"The 15th edition of WFH International Musculoskeletal Congress (IMC) will be held in Seoul, South Korea from May 5-7, 2017, which is been organized by the World Federation of Hemophilia (WFH) and the Korea Hemophilia Foundation. The purpose of IMC is to bring together orthopedic surgeons, physical therapists, physiatrists, rehabilitation medicine specialists, rheumatologists, hematologists, scientists, researchers, and other health professionals from around the world to discuss a variety of surgical and non-surgical approaches to the prevention and management of hemophilic arthropathy."
52,Which Indian bank has won the 2017 Golden Peacock Innovative Product/Service Award (GPIPSA)?,Yes Bank,ICICI Bank,State Bank of India (SBI),Reserve Bank of India (RBI),A,45,"Yes Bank has won the prestigious 2017 Golden Peacock Innovative Product / Service Award (GPIPSA) at the 27th World Congress at the Dubai Global Convention in Dubai, UAE. And Gujarat Narmada Valley Fertilizers &amp; Chemicals Ltd (GNFC) also won the award in this category for pioneering a cashless township transformation model. The Golden Peacock Awards raise the overall standards of developing and implementing transformative business models, and to recognize the achievements of the best performing organizations."
53,The Marylebone Cricket Club (MCC) has offered honourary life membership to which Indian women cricket player?,Mithali Raj,Sandhya Agarwal,Veda Krishnamurthy,Poonam Ganesh Raut,B,45,"The Marylebone Cricket Club (MCC) has offered honourary life membership to Sandhya Agarwal, former captain of the Indian women's Test team. Agarwal is being honoured in recognition of her distinguished service to the game. She has played 13 Tests and 21 ODIs from 1984 to 1995."
54,What is the theme of the India Pavillian during the Arabian Travel Market (ATM) 2017?,Yoga and Spirituality,Yoga and Nature,Yoga and Wellness,Yoga and Health,C,45,"The theme of the India Pavilion is ""Yoga and Wellness"", which will depict India as a year round multi faceted tourist destination for all ages and all seasons. The pavilion will highlight medical tourism in India which is fast gaining currency both amongst Middle East and European travellers.The Indian Pavilion under the aegis of the Tourism Ministry will exhibit the grandeur of the Indian subcontinent and will provide a platform to the leading Indian tour operators, travel agents, hoteliers, state governments and airlines to market India as an affordable and exotic tourist destination, which can be the basis of holistic travel experience."
55,Who has been appointed the new interim President of Badminton Association of India (BAI)?,Viraj Sagar Das,Kuki Juneja,Sudhanshu Gupta,Himanta Biswa Sarma,D,45,"Himanta Biswa Sarma, the BJP leader and Assam Badminton Association President, has been appointed the new interim President of Badminton Association of India (BAI)."
56,Which Indian personality has won the 2017 Goldman Environmental Prize?,Prafulla Samantra,Rashida Bee,Champa Devi Shukla,Ramesh Agrawal,A,45,"Prafulla Samantra, an iconic leader of social justice movements in India, the Goldman Environmental Prize for his historic 12-year legal battle that affirmed the indigenous Dongria Kondh's land rights and protected the Niyamgiri Hills from a massive, open-pit aluminum ore mine."
57,The National Panchayati Raj Diwas is celebrated on which date in India?,Apr-23,Apr-24,Apr-22,Apr-25,B,45,The National Panchayati Raj Diwas is celebrated every year on April 24 across India to mark the passing of the Constitution (73rd Amendment) Act 1992 that came into force with effect from 24 April 1993.
58,Who has won the 2017 Men's Singles title of Monte Carlo Masters Tennis tournament?,Albert Vinolas,Roger Federer,Rafael Nadal,Novak Djokovic,C,45,"Rafael Nadal, a Spanish professional tennis player, has won the Men's Singles title of Monte Carlo Masters Tennis tournament by defeating Albert Vinolas by 6-1, 6-3 at a summit clash in Monaco."
59,Who won the Monte Carlo Masters Men's Doubles title?,Pierre-Hugues Herbert and Nicolas Mahut,Bob Bryan and Mike Bryan,Julien Benneteau and Nenad Zimonjic,Rohan Bopanna and Pablo Cuevas,D,45,"India's Rohan Bopanna and his Uruguayan partner Pablo Cuevas lifted the men's doubles crown at the Monte Carlo Masters they played out of its skin to get the better of its opponents 6-3, 3-6, 10-4 in the summit-clash of the clay court tournament."
60,Who won the Monte Carlo Masters Men's Singles title?,Roger Federer,Rafael Nadal,Albert Ramos-Vinolas,None of the above,B,45,"Rafael Nadal was successfully defended the title, defeating Albert Ramos Vinolas in the final, 6-1, 6-3. He becoming the first man in the Open Era to win 10 titles at the same tournament."
61,Who is honoured with the P C Chandra Puraskaar 2017?,Kailash Satyarthi,Phalguni Vittal Rao,Sridhar Reddy,Sindhutai Sapkal,A,45,Kailash Satyarthi was presented the P C Chandra Puraskaar. He was honoured with the award for his global crusade against child slavery and exploitative child labour.
62,What is the theme of International Mother Earth Day 2017?,Trees for the Earth,It's Our Turn to Lead,Green Cities,Environmental &amp; Climate Literacy,D,45,"The theme for 2017 is ""Environmental &amp; Climate Literacy"". Environmental and climate literacy is the engine not only for creating green voters and advancing environmental and climate laws and policies but also for accelerating green technologies and jobs."
63,Who won the UNESCO's Felix Houphouet-Boigny Peace Prize?,Giuseppe Bottai,Giuseppina Nicolini,Alfredo Siniscalchi,Francesco Camero Medici,B,45,"Giuseppina Nicolini, Mayor of the Italian island of Lampedusa is set to be awarded co-winner of the Felix Houphouet-Boigny Peace Prize. The Mayor was named for the top prize for her work in saving the life of predominantly African migrants trying to cross the Mediterranean Sea from North Africa as they aim to reach Europe in search of greener pastures."
64,Which city was designated as UNESCO World Book Capital 2018?,Athens,Ljubljana,Conakry,Alexandria,A,45,"The city of Athens was chosen for the quality of its activities, supported by the entire book industry. The programme includes meetings with writers, translators and illustrators, concerts, thematic exhibitions, poetry readings and workshops for publishing professionals."
65,This institute has decided to launch the first ever Post-Graduate Diploma Course in Marathi Journalism from its Western Regional Campus.,Indian Institute of Mass Communication,Asian College of Journalism,"Mudra Institute of Communications, Ahmedabad",None of the above,A,45,"Indian Institute of Mass Communication is all set to launch the first ever Post-Graduate Diploma Course in Marathi Journalism from its Western Regional Campus at Amravati in Vidarbha region with effect from August 01, 2017"
66,Prime Minister Narendra Modi has written to President of this country and reaffirmed India's steadfast support to the country in its fight against all forms of terrorism.,China,Afghanistan,Nepal,Syria,B,45,Prime Minister Narendra Modi has written to Afghan President Ashraf Ghani and reaffirmed India's steadfast support to Afghanistan in fighting all forms of terrorism.
67,Which of the following Indian Navy Ships is currently undertaking a hydrographic survey of Weligama Bay along with Sri Lankan Navy?,INS Darshak,INS Arihant,INS Rajput,INS Shardul,A,45,"INS Darshak, joint with Sri Lankan Navy, is undertaking a hydrographic survey of Weligama Bay. INS Darshak is the Inian Navy's specialised survey ship, fitted with the latest state-of-the-art survey equipment like multi-beam system, side scan sonar and a fully automated digital surveying and processing system."
68,Google Doodle on 24 April 2017 paid tribute to which legendary cultural icon in India?,Rajkumar,Om Puri,Suchitra Sen,Raj Kapoor,A,45,Google had paid tribute to the late Kannada superstar Dr Rajkumar on his 88th birth anniversary by featuring a special doodle on its search engine. The doodle image shows Rajkumar on the big screen in a movie theatre with the silhouette of audience watching him.
69,"India's first-ever ""village of books"" will open in which state to promote tourism?",Punjab,Himachal Pradesh,Maharashtra,Tamil Nadu,C,45,"A village of books in Maharashtra, called 'Pustakanche Gaon' in Marathi, is set to open on 4 May 2017. Pravin Bhilare, a resident of this village, provided his premises for the purpose of stacking books for public reading. 75-odd artists were asked by the Maharashtra government to paint the premises that are to be used for public reading."
70,Which union ministry has made a provision enabling people to apply online for passports in Hindi?,Ministry of Parliamentary Affairs,Ministry of External Affairs,Ministry of Home Affairs,Ministry of Law and Justice,B,45,"The Ministry of External Affairs (MEA) has made a provision enabling people to apply online for passports in Hindi. It comes after President Pranab Mukherjee recently accepted recommendations made in this regard by the Committee of Parliament on Official Language via its 9th report. The report was submitted in 2011. People can download the application form available in Hindi, fill it in and upload it while applying for the passport."
71,What is the theme of the 2017 World Malaria Day (WMD)?,Counting malaria out,Invest in the future: defeat malaria,End malaria for good,Malaria: a disease without borders,C,45,"The theme od World Malaria Day (WMD) 2017 is ""End malaria for good"". According to World Health Organisation (WHO), nearly four lakh people die of malaria every year in the world. Tackling malaria is improving with a 29% drop in mortality rates between 2010 and 2015 and a 21% global decrease in cases. In India, every year close to one million people suffer from this diseases. Malaria caused by the falciparum parasite is the most serious, and can lead to breathing problems, liver failure, coma and eventual death."
72,Who will be conferred with the 2016 Dada Saheb Phalke award?,Mrinal Sen,Soumitra Chatterjee,Adoor Gopalakrishnan,Kasinadhuni Viswanath,D,45,"Kasinadhuni Viswanath has been named for the prestigious 2016 Dada Saheb Phalke award for his outstanding contribution to the film industry. He is icon in the film industry and known for classical and traditional art, music and dance. The award will be conferred by President Pranab Mukherjee at a function on May 3 at Vigyan Bhawan in New Delhi. The award carries a golden lotus, a cash prize of Rs 10 lakhs and a shawl."
73,"Which country has become the world's largest importer of Liquefied Petroleum Gas (LPG), according to Petroleum Planning &amp; Analysis cell?",China,Bhutan,Japan,India,A,45,"China is the world's largest importer of Liquefied Petroleum Gas (LPG), where as India toppled Japan to acquire second position. It is because of Indian government's drive to provide free cooking connections to women from extremely poor households resulted in 32.5 million new LPG connections being added in FY17. The government's efforts have pushed up India's active LPG user count to about 200 million. It aims to increase the households using LPG to 80% of total households in India by FY19 from 72.8% as on April 1, 2017."
74,"Manpreet Kaur, who recently clinched Gold at the 2017 Asian Grand Prix Meet, is associated with which sports?",Long jump,Shot put,Javelin throw,Sprint,B,45,"Indian shot putter Manpreet Kaur has recently clinched Gold in the first leg of the at the 2017 Asian Grand Prix Meet in Jinhua, China. Manpreet came up with a best throw of 18.86 metre, which was nearly one meter more than her earlier national record of 17.96 metre that she had set in 2015. With the performance, Manpreet also qualified for the IAAF World Championships to be held in August 2017 in London, United Kingdom (UK)."
75,"Which is the world's largest military spender, as per the report of Stockholm International Peace Research Institute (SIPRI)?",India,China,United States,Russia,C,45,"As per SIPRI military expenditure database, the United States is the largest military spender in the world with an expenditure of $611 billion, followed by China, Russia and Saudi Arabia. India has acquired the 5th position as largest military spender in 2016 with expenditure of $55.9 billion for 2016-17."
76,Which state team has won the 2017 National Youth Athletics Championships?,Kerala,Punjab,Manipur,Haryana,D,45,"Haryana has won the 2017 National Youth Athletics Championships by defeating Kerala at G.M.C. Balayogi Stadium in Hyderabad. Haryana emerged champions with overall 166.5 points including girls and boys performance. Kerala, finished as runners-up managing 134.75 points."
77,"Which state government has launched ""Kilkari"" app to create awarness among pregnant women?",Punjab,Haryana,Assam,Uttar Pradesh,B,45,"The National Health Mission (NHM) in Haryana has recently launched a mobile-based application ""Kilkari"" to create awareness among pregnant women, parents and health workers on the importance of ante and post natal care, institutional delivery and immunisation. From the second trimester of pregnancy, till the child is one-year-old, the app will deliver 72 times appropriate audio messages to registered mobile numbers on pregnancy, child and childbirth care every week."
78,What is the name of the hospital which become the India's First public hospital for eye tumours?,Anugrah Narayan Magadh Medical College and Hospital (ANMMCH),Jawaharlal Institute of Postgraduate Medical Education &amp; Research (JIPMER),All India Institute of Hygiene and Public Health (AIIH&amp;PH),All India Institute of Medical Sciences (AIIMS),D,45,The All India Institute of Medical Sciences (AIIMS) has become the India's First public hospital to start plaque brachytherapy facility for the treatment of eye tumours. The facility is a form of local radiation delivered to the eye through a radioactive device which is attached to the eye for a temporary period of time. The Rajendra Prasad Centre for Opthalmic Sciences will treat children suffering from a type of cancer called Retinoblastoma and adults who suffer from melanoma.
