ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
24,A mother is Hbs Ag positive and anti Hbe Ag positive. Risk of transmission of Hep. B in child is:,20%,50%,0%,90%,A,45,"Before answering these questions lets first discuss hepatitis in brief.
Maternal infection: The acute infection is manifested by flu like illness as malaise, anorexia, nausea and vomiting. In majority, it remains asymptomatic. Jaundice is rare and fever is uncommon.
Clinical course (HBV): Nearly 90–95% of patients clear the infection and have full recovery. 1% develop fulminant hepatitis resulting massive hepatic necrosis. 10-15% become chronic and 10% of these chronic cases suffer from chronic active hepatitis, cirrhosis and hepatocellular carcinoma.
Diagnosis is confirmed by serological detection of HBsAg, HBeAg (denote high infectivity) and antibody to hepatitis B core antigen (HBcAg) and HBV DNA titer (107–1011).
Screening: All pregnant women should be screened for HBV infection at first antenatal visit and it should be repeated during the third trimester for ‘high risk’ groups (intravenous drug abusers, sexual promiscuity, hemophilics, patients on hemodialysis or having multiple sex partners).
Hepatitis C (HCV):
It is recognized as the major cause of non-A, non-B hepatitis worldwide and is the leading cause of transfusion associated hepatitis. Transmission is mainly blood borne and to a lesser extent by faecal-oral route. It is responsible for chronic active hepatitis and hepatic failure.
Perinatal transmission (10–40%) is high when coinfected with HIV and HBV.
Detection is by antibody to HCV by EIA, which develops usually late in the infection.
Confirmation is done by recombinant immunoblot assay (RIBA-3).
Chronic carrier state is present. Breastfeeding is not contraindicated.
Hepatitis D (HDV):
It is seen in patients infected with HBV either as a co-infection or super infection. Perinatal transmission is known.
Hepatitis E (HEV): Hepatitis E is the most important cause of non-A, non-B hepatitis in developing countries like India. Chronic carrier state is present. Perinatal transmission is uncommon.
Maternal mortality is very high (15–20%)."
25,"In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as",Average,High,Incomplete,Low,D,45,No explanation given
26,"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?",Neostigmine,Atropine,Flumazenil,Physostigmine,B,45,"Low esterase levels are suggestive of overdose of some drug which acts by inhibiting acetyl choline esterase like organophosphate poisoning. Inhibition of choline esterase results In increased amount of Ach at synapse, so poisoning or overdose results in cholinergic symptoms like salivation, lacrimation, urination, emesis, increased bronchial secretions, reduction in blood pressure.So treatment Of choice is Atropine. Atropine -It is highly effective in counter-acting the muscarinic symptoms, but higher doses are required to antagonize the central effects. It does not reverse peripheral muscular paralysis which is a nicotinic action. All cases of anti-ChE (carbamate or organophosphate) poisoning must be promptly given atropine2 mg i.v. repeated every 10 min till dryness of mouth or other signs of atropinization appear (upto 200 mg has been administered in a day). Continued treatment with maintenance doses may be required for 1-2 weeks. Neostigmine and physostigmine worsens the signs and symptoms as these also act by inhibiting choline esterase. Physostigmine and flumazenil are respectively used for Atropine and benzodiazepines poisoning."
27,The current bar clasp design used is:,Mesio-occlusal rest,Disto-occlusal rest,Mesial or distal depending on the situation,Choice of the dentist,A,45,No explanation given
28,All of the following are true regarding Class-II inlay gingival margins preparation except?,Removal of week enamel rods,Increased metal burnishability,Lap sliding fit of metal margin,Margins of restoration in self-cleansable area,D,45,No explanation given
29,Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,Collagenase,Hyaluronidase,Coagulase,None of the above,A,45,No explanation given
30,"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:",Chi square test,Paired T-test,Student's T-test,Fischer exact test,C,45,"Ans: C. Student's T-test(Ref Park 22/e p795; Biostatistics by Mahajan 7/e p134)Here, comparing a parametric quantitative variable (weight) in two unrelated group of people.Hence, ""Student's t-test"" used.Student t-test:Used when outcome variable is normally distributed in population (for quantitative data).Ex: BP, blood glucose."
31,Which vitamin is required for glycogen Phosphorylase?,PLP,TPP,Riboflavin,Lipoic acid,A,45,"Glycogen phosphorylase is the rate limiting enzyme of glycogenolysis. And it requires PLP. The active form of vitamin B6 is the coenzyme pyridoxal phosphate (PLP) PLP can be synthesized from the three compounds pyridoxine, pyridoxal and pyridoxamine. This PLP for this enzyme Glycogen phosphorylase is not required as co-enzyme, but it act as a phosphate donor. Enzyme glycogen phosphorylase will cut glycogen a (1-4) bond apa and the glucose released are transferred in Glucose-1-phosphate and that phosphate is taken from PLP."
32,"A child's behaviour is traced to have dental difficulties
from	his	mother.	The	most	satisfactory	method	of
handling the situation is to:",Introduce another child as a good example,Modify his fear by familiarization,Use small amounts of barbiturates,Use firmness,B,45,No explanation given
33,Which of the following is the only complete cailage ring in the respiratory tree?,Cricoid cailage,Thyroid cailage,Cunieform cailage,Epiglottis,A,45,Answer- A (Cricoid cailage)(Ref: BDC 5/e Vol lII/p238)Complete cailage ring is seen in Cricoid cailage.Cricoid cailage is shaped like a ring. It encircles the larynx below the thyroid cailage. It is thicker and stronger than the thyroid cailage.
34,Steps of intubation - arrange in sequence:- a. Head extension and flexion of neck b. Introduction of laryngoscope c. Inflation of cuff d. Check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement,ABCDE,DBCEA,ACBED,CBAED,A,45,"For intubation: 1st step: Morning sniffing position: extension of atlanto-occipital joint and flexion of neck. 2nd step: Introduction of laryngoscope 3rd step: Push the tongue away, visualize the epiglottis, aryepiglottic fold, hinge the tip of laryngoscope with aryepiglottic fold and lift the laryngoscope to visualize the glottic opening. 4th step: Introduce ETT and inflate the cuff 5th check for bilateral breath sound FIXATION of the ETT."
35,In Erythroblastosis fetalis not involved is –,Anti C,Anti D,Anti E,Anti Lewis,D,45,"Erythroblastosis fetalis is caused by the transplacental passage of maternal antibody active against paternal RBC antigens of the infant and is characterized by an increased rate of RBC destruction.
Although more than 60 different RBC antigens are capable of eliciting an antibody response, significant disease is associated primarily D antigen of Rh group and with A 0 incompatibility.
Other rare antigens involved are -


C or E antigen of Rh group
RBC antigens - Cw, Cx, Cu, K (kell), M, Duffy, S, P, MNS, Xg, Lutheran, Diego and Kidd.


Anti-Lewis antibodies do not cause disease."
36,"A dentist suffered from Hepatitis B infection 3 months back. His laboratory tests are normal, but he is not allowed by the medical board to do surgical practice. He is:",Inactive carrier,Healthy carrier,Convalescent carrier,Paradoxical carrier,C,45,"Convalescent carrier is the host who continues to harbor the microorganism even after recovering from the clinical disease caused by the same pathogen.
Key Points 
HBsAg:

The antigen appears in blood during incubation period and is detectable in most patients during the prodrome and acute phase of the disease.
Persistent presence of HBsAg in blood for at least 6 months indicates the carrier state and also indicates the risk of chronic hepatitis and hepatic carcinoma. It is not detectable in the serum during convalescent stage. The presence of HBsAg alone does not necessarily indicate the replication of complete virion, and the patients may not have symptoms of liver damage. 

Parija SC. Textbook of Microbiology & Immunology. Elsevier Health Sciences; 2014. Page:74,553"
37,A pediatrician in a district hospital with specialization neonatal care unit calls an ophthalmologist for consultation for which of the following?,A newborn with respiratory distress,A baby born at 28 weeks of gestation,Newborn with jaundice,A newborn with bih weight 2300 grams,B,45,Answer- B. A baby born at 28 weeks of gestationPremature baby needs to be screenedfor Retinopathy of prematurity.All babies weighing <1500 gm or having a gestational period <32 weeks should be screened with indirect ophthalmoscopybetween 32-36 weeks postconception.
38,"In a child with active liver failure, the most important prognosis factor for death is –",Increasing transaminases,Increasing bilirubin,Increasing prothrombin time,Gram (–)ve sepsis,D,45,"Prognosis of hepatic failure in children 

Children with hepatic failure have somewhat better prognosis.
The prognosis varies considerably with -

i) Cause of liver failure
ii) Stage of hepatic encephalopathy

Poor prognostic factors for mortality


If cause of liver failure is         —>       Wilson disease, idiopathic
Stage IV coma —> Most common cause of death is brain stem herniation
Age < I year
Sepsis
Severe hemorrhage
Renal failure
, Need for dialysis before transplantation

For option b & c -
""Pretransplant serum bilirubin concentration and the INR (prothrombin time) of coagulation are not predictive of post transplant survival""."
39,"A patient went into shock immediately after normal delivery, likely cause:",Amniotic fluid embolism,PPH,Uterine inversion,Eclampsia,C,45,"Friends this is one of those questions where we can derive the answer by excluding other options as very little information has been provided to us.
Sudden post partum collapse – may be seen in all the four cases viz – amniotic fluid embolism, PPH, uterine inversion and eclampsia.
But in case of PPH antecedent H/O excessive blood loss, in eclampsia – H/O antecedent convulsions and in amniotic fluid embolism – H/O abrupt onset of respiratory distress before collapse should be present, which is not given in the question so these options are being excluded.
The clinical picture of acute inversion occurring in the third stage of labour is characterised by shock and haemorrhage, the shock being out of proportion to the bleeding.
Since this a problem which occurs due to mismanaged third stage of labour, patient doesnot have any complain in the antenatal period or during labour.
Uterine inversion – “It should be suspected whenever a woman has unexplained postpartum collapse.”
Textbook of Obs, Sheila Balakrishnan, p 489"
40,"A patient presented with flat topped violaceous papules, thinning of nails and onycholysis. What is the microscopic finding observed in this patient?",Prominent necrotic cell,Suprabasal split,Basal cell degeneration,Acantholysis,C,45,Ans. c. Basal degeneration
41,Which of the following is not. true regarding myelopathy?,Sensory loss of facial area,Brisk jaw jerk,Brisk pectoral jerk,Urgency and incontinence of micturition,B,45,"Ans. b. Brisk jaw jerk(Ref: De Jongs Neurological examination/ p194, 201, 474.'Jaw jerk is exaggerated in supranuclear lesions that are above the mid pons."
42,Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?,High level expe group of universal health program for india,Central bureau of health investigation,Srivastava committee,Sundar committee,A,45,Answer- A. High level expe group of universal health program for indiaConcept of 3 years bachelor para-medical course for rural health service was proposed by Ministry of health and family welfare and received backing of Planning Commission of India's High level expe group of universal health program.
43,Sequential arrangement of fetal scans -,Growth scan,Triple marker,Anomalous Scan and NT scan,All,D,45,"Ans: D. AllThe NT scan must be done between 11 and 14 weeks pregnant, because this is when the base of baby's neck is still transparent. (The last day for scan is 13 weeks and 6 days pregnant.)Triple marker test is performed in pregnant women at the end of first trimester and the beginning of the second trimester.The anomaly scan, also sometimes called the anatomy scan, 20 week ultrasound, or level 2 ultrasound, is a pregnancy ultrasound performed between 18-22 weeksA growth scan is an ultrasound scan that determines whether your baby's growth is normal. Doctors typically recommend it for women during the third trimester of pregnancy; one of the reasons it is also a fetal growth scan between 28 weeks and 32 weeks of pregnancy."
44,Which one of the following is a muscle splitting incision?,Kocher's incision,Rutherford-Morrison incision,Pfannenstiel incision,Lanz incision,D,45,"Ans: D. Lanz incisionLanz incision:An oblique (transverse skin crease), muscle splitting incision used for an appendectomy.A modification of McBurney's (Grid Iron) incision.Advantages:Considered cosmetically better.Exposure is better.The extension is easier.Measurements:Incision, appropriate in length to size & obesity of patient - Approximately 2 cm below umbilicus centered on the midclavicular-mid inguinal line.It can be extended medially - With retraction or suitable division of rectus abdominis muscle."
45,Multiple canals in mandibular premolars are seen in?,Africas,Caucians,Not Recalled,Not Recalled,A,45,No explanation given
46,Which of the following blade angle is appropriate for scaling and root planing,A,B,C,D,B,45,"Blade angulation.
(A) 0 degrees: correct angulation for blade insertion.
(B) 45 to 90 degrees: correct angulation for scaling and root planing.
(C) less than 45 degrees: incorrect angulation for scaling and root planing.
(d) More than 90 degrees: incorrect angulation for scaling and root planing, but correct angulation for gingival curettage."
47,Which pa of brachial plexus do not give branches,Root,Division,Cord,Trunk,B,45,Answer: B. DivisionDivision does not give branches
48,"If the Rb gene phosphorylation is defective, which of the following will happen?",Cell cycle will stop at GI phase,Cell cycle will stop at G2 phase,The cell cycle will progress and the cell will divide,There will be no effect on cell cycle as for Rb gene phosphorylation is not needed,A,45,"Answer- A. Cell cycle will stop at GI phaseRb is a tumor suppressor gene. It normally arrests cell division at G1-S phase. Phosphorylation of Rb gene allows the cell to divide, hence inhibition of phosphorylation (which is the constitutive scenario for Rb gene) arrests the cell in GI phase.RB (Retinoblastoma) geneLocated on chromosome on 13q14Tumor suppressive pocket protein that binds E2F transcription factors in hypophophorylated stateKey negative regulator of G1/S cell cycle transition . Tumors associated: Retinoblastoma, osteosarcoma, Glioblastoma, small cell carcinoma of lung, CA breast & CA bladderSequence: Go- G1- S- G2 - M"
49,Cumulative index is:,Russet's periodontal index,Ramjford's periodontal index,PMA (Massler and Schlour),Gingival index (Loe and Silness),C,45,No explanation given
50,The cells which will proliferate from top to bottom of villi are:,Chief cells,Goblet cells,Paneth cells,Parietal cells,C,45,"Paneth cells or zymogen cells are found only in the deeper parts of the intestinal crypts.
 They contain prominent eosinophilic secretory granules.
 They also contain high amount of zinc.
 They are known to produce lysozyme, defensins and TNF alpha that destroy bacteria.
 They exceptionally migrate towards the base of the crypts of Lieberkuhn instead of going toward the villi"
51,What is the usual weight of rabbit used in ophthalmological experiments?,0.5-1 kg,1.5-2.5 kg,5-7 kg,10-12 kg,B,45,Ans: B. 1.5-2.5 kg(Ref: Animal Models in Eve Research/ p188).The usual weight of rabbit used in ophthalmological experiments is between 1.5-2.5 Kg. Laboratory Animals:Laboratory AnimalsAnimalWeightRat180-200 gmGuinea Pig400-600 gmMouse20-25 gmRabbit1.5-2.5 KgdegHamster80-90 gm
52,"In plasmodium vivax malaria, relapse is caused by:September 2012",Sporozoite,Schizont,Hypnozoite,Gamteocyte,C,45,"Ans: C i.e. HypnoziteMalariaIn malaria, size of RBC is increased in: VivaxInfective agent of malaria is: SporozoiteFalciparum malariaGametocytes are seen in peripheral blood smearParasitemia is highestMost virulent plasmodium speciesExo-erythrocytic stage is absentMultiple infections of RBC'sSplenic rupture is common"
53,Retraction of mandible is achieved by:,Lateral pterygoid,Temporalis,Medial pterygoid,Masseter,B,45,No explanation given
54,How is modified shock index represented as?,HR/MAP,MAP/HR,HR/SBP,HR/DBP,A,45,HR normal: 60-100 MAP normal: 95
55,"A 3 week neonate with ambiguous genitalia presented with Na+ 127 meq/L, K+ 7.2 meq/L wit BP 52/24 mm Hg and he was managed with IV fluids. What is the next step of management?",Spironolactone,Hydrocoisone administration,Broad spectrum antibiotics,Calcium gluconate,B,45,"Karyotype 46 XX Physical appearance - male pattern Precocious pubey at 2-4 yrs. of age. Uterus, cervix and fallopian tubes are present (bcz 44 XX) - Mullerian duct development is normal. Metabolic problems: Hyponatremia - aldosterone deficiency Hyperkalemia Hypotension Diagnosis: 1) USG Normal 2) Barr body present 3) Biochemistry - 17 hydroxyprogesterone || > 800 ngm/dl. Management: DOC - Dexamethasone - to pregnant women and fetus both having CAH. Hydrocoisone - pregnant women alone having CAH but fetus is normal. Neonate with CAH. Labioscrotal folds may be separated to folds may be fused at the midline, giving an appearance of a scrotum Labioscrotal folds with increased pigmentation suggest the possibility of increased coicotropin levels as pa of adrenogenital syndrome"
56,Base pairs in DNA,1.5 billion,46 billions,3.2 billion,100 billion,C,45,No explanation given
57,Which of the following is a solid solution?,Amalgam,Cobalt-chromium,Silver-palladium,Gallium-silver,C,45,"The structure of noble alloys can consist of solid solutions, in which the elements are completely soluble in one another at all temperatures and compositions.
The majority of noble metal casting alloys for dental restorations are based on solid solutions. An important example is the palladium-silver (Pd-Ag) alloy system. Silver forms a series of solid solutions with palladium and gold, and is therefore common in gold- and palladium-based dental alloys.
Ref: Phillip’s 12th edition page 79. Craig’s 14th edition page 182,184"
58,Tracheal secretions should be suctioned for:,10-15 seconds,60 seconds,30 seconds,3 minutes,A,45,"Ans. a. 10-15 seconds(Ref Current DiMMOCIC and Treatment Critical Care 3/e p255)Tracheal secretions should he suctioned limiting the time to less than 10-15 seconds. The patient should be preoxygenated with 100% oxygen for at least a minute, and the total suction time should be limited to no more than 10-15 seconds on each attempt."
59,"A patient presents with carcinoma of the larynx involving the left false cords, left arytenoid and the left aryepiglottic folds with bilateral mobile true cords. Treatment of choice is -",Vertical hemilaryngectomy,Horizontal partial hemilaryngectomy,Total laryngectomy,Radiotherapy followed by chemotherapy,A,45,"In the Patient

Involvement of unilateral false cord, aryepiglottic folds and arytenoids with mobile cord suggest supraglottic cancer in T2 stage (morem than one subsites of supraglottis are involved).
For T2 stage radiotherpy is best. But it is not given in options. Hence we will go for voice conserving surgery-vertical hemilaryngectomy.
Vertical hemilaryngectomy means excision of one half of larynx, one half of supraglottis, glottis and subglottis."
60,Which of the following lipoproteins does not move towards charged end in electrophoresis?,VLDL,LDL,HDL,Chylomicrons,D,45,"Based on electrophoretic separation from cathode to anode, the order of lipoprotein in an electrophoretogram is 

Chylomicron
LDL (β Lipoprotein)
VLDL (Pre β Lipoprotein)
IDL (Broad β Lipoprotein)
HDL (α Lipoprotein)"
61,"A 60 years old male presented with fever, chills and dysuria. Patient was hospitalized in emergency for 5 days. PSA level was 7.4. Next best step in this patient:",Repeat PSA,TURP,TRUS guided biopsy,Antibiotics and admit,D,45,Answer- D. Antibiotics and admitTreatment for acute bacterial prostatitis:MC used antibiotics are: TMP-SMX and Ciprofloxacin (Both are having better concentration in prostatic tissue)Around 4-6 weeks of antibiotic therapy is used to ave chronic bacterial prostatitis.
62,Name the structure marked with arrow,Mitochondria,Golgi bodies,Secretory vesicles,Rough Endoplasmic reticulum,C,45,The structure marked with arrow- Secretory vesicles.
63,"A patient from,nqh-eastern states was diagnosed to have infection with P. falciparum malaria. What is the most appropriate drug for this patient?",Aemether plus lumefantrine,Sulfadoxine plus pyrimethamine,Chloroquine,Mefloquine,A,45,"Ans: A. Aemether plus lumefantrineRef: <a href="" Combination Therapy (ACT) should be given to all the confirmed P. falciparum cases.</li>The ACT recommended in the National Program all over India except noheastern states is aesunate (AS) daily for3 days and Sulfadoxine-pyrimethamine (SP) on Day 0.Noheastern states presently recommended ACT in national drug policy is fixed dose combination of Aemether-lumefaritrine.Hence, the clear-cut answer of this question is Aemether plus lumefantrine."
